hin_Deva,sat_Olck
"अब, क्या कोई मुझे बता सकता है कि मतदाता वोट करने के लायक कैसे बनता है?","ᱱᱤᱛ, ᱡᱟᱦᱟᱸᱭ ᱯᱮ ᱞᱟᱹᱭ ᱫᱟᱲᱮᱭᱟᱹᱧᱟᱹ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱢᱤᱫᱴᱟᱝ ᱵᱷᱳᱴᱟᱨ ᱵᱷᱳᱴ ᱮᱢᱨᱮᱱ ᱡᱳᱜᱽᱜᱚᱭ ᱦᱩᱭᱩᱜᱼᱟ ?"
उस व्यक्ति की उम्र 18 साल या उससे अधिक होनी चाहिए।,ᱩᱱᱤ ᱦᱚᱲᱟᱜ ᱫᱚ ᱑᱘ ᱥᱮᱨᱢᱟ ᱥᱮ ᱚᱱᱟ ᱠᱷᱚᱱ ᱰᱷᱮᱨ ᱩᱢᱮᱨ ᱦᱩᱭᱩᱜ ᱨᱮᱭᱟᱜ ᱞᱟᱹᱠᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱾
"बिल्कुल ठीक। नागरिकता अधिनियम से सभी नागरिक जाति, धर्म, लिंग आदि के आधार पर बिना किसी भेदभाव के वोट कर सकते हैं।","ᱮᱠᱟᱞᱜᱮ ᱾ ᱱᱟᱜᱚᱨᱤᱠᱚᱛᱛᱚ ᱟᱭᱤᱱ ᱫᱚ ᱥᱟᱱᱟᱢ ᱱᱟᱜᱟᱨᱤᱭᱟᱹ ᱠᱚ ᱡᱟᱹᱛ, ᱫᱷᱚᱨᱚᱢ, ᱡᱟᱱᱟᱝ ᱮᱢᱟᱱ ᱠᱚ ᱪᱮᱛᱟᱱ ᱡᱟᱦᱟᱱ ᱵᱷᱮᱯᱮᱜᱮᱫ ᱵᱟᱝ ᱢᱟᱱᱟᱣ ᱠᱟᱛᱮ ᱵᱷᱳᱴ ᱮᱢᱚᱜ ᱨᱮᱭᱟᱜ ᱫᱟᱣ ᱮ ᱮᱢᱟ ᱠᱚᱣᱟ ᱾"
लेकिन उनकी उम्र 18 वर्ष या उससे अधिक होनी चाहिए।,ᱮᱱᱠᱷᱟᱱ ᱩᱱᱤᱭᱟᱜ ᱩᱢᱮᱨ ᱑᱘ ᱥᱮᱨᱢᱟ ᱥᱮ ᱚᱱᱟ ᱠᱷᱚᱱ ᱰᱷᱮᱨ ᱦᱩᱭᱩᱜ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ ᱾
"साथ ही, मतदाता तभी वोट दे सकते हैं जब वे भारत के नागरिक हों।","ᱱᱚᱶᱟ ᱵᱮᱜᱚᱨ, ᱵᱷᱳᱴᱟᱨ ᱫᱚ ᱥᱩᱢᱩᱝ ᱡᱩᱫᱤ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱱ ᱱᱟᱜᱚᱨᱤᱭᱟᱹᱭ ᱦᱩᱭᱩᱜᱼᱟ ᱮᱱᱠᱷᱟᱱ ᱡᱳᱜᱽᱜᱚ ᱠᱟᱱᱟᱭ ᱾"
यदि किसी को भारत के चुनाव में वोट डालना हो तो उनके पास भारत की नागरिकता होनी चाहिए।,ᱡᱩᱫᱤ ᱡᱟᱦᱟᱸᱭ ᱵᱷᱟᱨᱚᱛᱤᱭᱚ ᱵᱟᱪᱷᱱᱟᱣ ᱨᱮ ᱵᱷᱳᱴ ᱮ ᱮᱢᱚᱜ ᱞᱟᱹᱜᱤᱫᱜᱼᱟ ᱮᱱᱠᱷᱟᱱ ᱩᱱᱤᱭᱟᱜ ᱵᱷᱟᱨᱚᱛᱤᱭᱚ ᱱᱟᱜᱚᱨᱤᱠᱚᱛᱛᱚ ᱛᱟᱦᱮᱱ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ ᱾
योग्यता के और कौन-कौन से मानदंड तुम लोग जानते हो?,ᱡᱚᱜᱽᱢᱟᱱᱚᱜ ᱨᱮᱭᱟᱜ ᱮᱴᱟᱜ ᱜᱩᱱ ᱪᱮᱫ ᱟᱢᱮᱢ ᱵᱟᱰᱟᱭᱼᱟ ?
उनके नाम मतदाता सूची में होने चाहिए।,ᱩᱱᱠᱚᱣᱟᱜ ᱧᱩᱛᱩᱢ ᱵᱟᱪᱷᱱᱟᱣ ᱨᱳᱞᱨᱮ ᱦᱩᱭᱩᱜ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ ᱾
"सही। जो लोग वोट डाल सकते हैं, उन सभी का नाम मतदाता सूची में होगा।",ᱴᱷᱤᱠ ᱾ ᱵᱷᱳᱴ ᱮᱢᱨᱮᱱ ᱡᱳᱜᱽᱜᱚ ᱥᱟᱱᱟᱢ ᱦᱚᱲ ᱠᱚᱣᱟᱜ ᱧᱩᱛᱩᱢ ᱵᱟᱪᱷᱱᱟᱣ ᱨᱳᱞᱨᱮ ᱛᱟᱦᱮᱱ ᱛᱟᱠᱚᱣᱟ ᱾
तुम लोगों को मतदान करने के लिए सूची में अपना नाम लिखवाना चाहिए।,ᱵᱷᱳᱴ ᱮᱢᱚᱜ ᱞᱟᱹᱜᱤᱫ ᱨᱳᱞᱨᱮ ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱥᱮᱞᱮᱫ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱ ᱛᱟᱢᱟ ᱾
तुम्हारा निर्वाचन क्षेत्र के उस भाग/मतदान क्षेत्र का सामान्य निवासी होना जरूरी है जहाँ तुम नामांकन कराना चाहते हो।,ᱟᱢ ᱡᱟᱦᱟᱸᱨᱮ ᱥᱮᱞᱮᱫᱚᱜ ᱥᱟᱱᱟᱭᱮᱫ ᱢᱮᱭᱟ ᱚᱱᱰᱮᱱᱟᱜ ᱴᱚᱴᱷᱟ / ᱯᱳᱞᱤᱝ ᱨᱮᱱ ᱢᱤᱫᱴᱟᱝ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱜᱤᱨᱟᱹᱵᱟᱹᱥᱤ ᱦᱩᱭᱩᱜ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱ ᱛᱟᱢᱟ ᱾
"मैम, मैंने सुना है कि यदि आप किसी निर्धारित जगह पर अपना नाम लिखवाते हैं, तो आप केवल उसी जगह पर वोट दे सकते हैं?",ᱢᱟᱪᱮᱛᱟᱱᱤ ᱟᱸᱡᱚᱢ ᱟᱠᱟᱫᱟᱹᱧ ᱟᱢ ᱡᱩᱫᱤ ᱡᱟᱦᱟᱱ ᱴᱷᱟᱹᱣᱠᱟᱹ ᱡᱟᱭᱜᱟ ᱨᱮᱱᱟᱜ ᱛᱟᱹᱞᱤᱠᱟᱨᱮᱢ ᱥᱮᱞᱮᱫᱚᱜᱼᱟ ᱮᱱᱠᱦᱟᱱ ᱥᱩᱢᱩᱝ ᱚᱱᱟ ᱡᱟᱭᱜᱟ ᱨᱮᱜᱮ ᱵᱷᱳᱴ ᱫᱚᱢ ᱮᱢ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ?
"हाँ, नाम केवल एक ही जगह पर लिखवाया जा सकता है।","ᱦᱮᱸ, ᱛᱟᱹᱞᱤᱠᱟᱨᱮ ᱥᱮᱞᱮᱫᱚᱜ ᱫᱚ ᱥᱩᱢᱩᱝ ᱢᱤᱫ ᱡᱟᱭᱜᱟ ᱨᱮᱜᱮ ᱦᱩᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾"
"तो, यदि तुम अपने चुनावी क्षेत्र में मतदाता के तौर पर नाम लिखवाते हो, तो जहाँ भी तुम हो, वोट डालने के लिए तुम्हें अपने चुनावी क्षेत्र में आना होगा।","ᱮᱱᱠᱷᱟᱱ, ᱟᱢ ᱡᱩᱫᱤ ᱟᱢᱟᱜ ᱵᱟᱪᱷᱱᱟᱣ ᱴᱚᱴᱷᱟ ᱨᱮ ᱵᱷᱳᱴᱟᱨ ᱞᱮᱠᱟᱛᱮᱢ ᱵᱷᱩᱨᱛᱤᱜᱼᱟ, ᱟᱢ ᱡᱟᱦᱟᱸ ᱨᱮᱜᱮᱢ ᱛᱟᱦᱮᱱ ᱥᱮ, ᱵᱷᱳᱴ ᱮᱢᱚᱜ ᱞᱟᱹᱜᱤᱫ ᱫᱚ ᱟᱢᱟᱜ ᱵᱟᱪᱷᱱᱟᱣ ᱴᱚᱴᱷᱟ ᱨᱮᱜᱮ ᱦᱤᱡᱩᱜ ᱦᱩᱭᱩᱜ ᱛᱟᱢᱟ ᱾"
किसी दूसरे बूथ पर तुम वोट नहीं डाल सकोगे।,ᱟᱢ ᱫᱚ ᱮᱴᱟᱜ ᱡᱟᱦᱟᱱ ᱵᱩᱛᱷ ᱨᱮᱱ ᱡᱳᱜᱽᱜᱚ ᱵᱷᱳᱴᱟᱨ ᱫᱚ ᱵᱟᱢ ᱦᱩᱭᱩᱜᱼᱟ ᱾᱾
क्या दिव्यांग लोगों के पास वोट डालने के लिए कोई विशेषाधिकार होते हैं?,ᱵᱷᱮᱜᱟᱨ ᱞᱮᱠᱟᱛᱮ ᱦᱚᱲ ᱠᱚ ᱪᱮᱫ ᱜᱟᱛᱟᱠ ᱨᱮᱭᱟᱜ ᱵᱷᱳᱴ ᱠᱚ ᱮᱢ ᱰᱟᱲᱮᱭᱟᱜ ᱞᱟᱹᱜᱤᱫ ᱠᱷᱟᱥ ᱫᱟᱣ ᱢᱮᱱᱟᱜᱼᱟ ?
उनका पंजीकरण दिव्यांग मतदाता के तौर पर किया जाता है।,ᱩᱱᱠᱚ ᱫᱚ ᱞᱮᱸᱡᱽᱨᱟ ᱵᱷᱳᱴᱟᱨ ᱞᱮᱠᱟᱛᱮ ᱠᱚ ᱨᱮᱡᱤᱥᱴᱟᱨ ᱟᱠᱟᱱᱟ ᱾
"जहाँ तक विशेषाधिकार की बात है, उन्हें मतदान केंद्र पर लाइन में नहीं खड़े रहना पड़ता है।","ᱥᱩᱡᱳᱜᱽᱼᱥᱩᱫᱷᱟ ᱞᱮᱠᱟᱛᱮ, ᱩᱱᱠᱚ ᱯᱳᱞᱤᱝ ᱵᱩᱛᱷᱨᱮ ᱞᱟᱭᱤᱱ ᱨᱮ ᱵᱟᱝ ᱛᱤᱸᱜᱩᱱ ᱦᱩᱭᱩᱜ ᱛᱟᱠᱚᱣᱼᱟ ᱾"
"लेकिन, मानसिक रूप से अस्वस्थ व्यक्ति को वोट डालने की अनुमति नहीं दी जाती है।","ᱮᱱᱠᱷᱟᱱ, ᱢᱤᱫ ᱵᱚᱦᱚᱜ ᱯᱟᱜᱽᱞᱟ ᱦᱚᱲ ᱫᱚ ᱵᱷᱳᱴ ᱮᱢ ᱠᱷᱚᱱ ᱪᱷᱟᱹᱲ ᱮ ᱧᱟᱢᱼᱟ ᱾"
"ओह, क्या ऐसे और भी कोई लोग हैं जो मतदान के योग्य नहीं हैं?","ᱳ, ᱮᱴᱟᱜ ᱦᱚᱲ ᱠᱚ ᱡᱟᱦᱟᱸᱭ ᱵᱷᱳᱴ ᱮᱢ ᱨᱮᱱ ᱡᱳᱜᱽᱜᱚ ᱠᱚ ᱵᱟᱝ ᱠᱟᱱ ?"
"हाँ, भारत में, भारतीय संविधान के लोक प्रतिनिधित्व अधिनियम, 1951 के अनुसार, सभी सज़ायाफ्ता कैदियों को अयोग्य माना जाता है।","ᱦᱮᱸ, ᱵᱷᱟᱨᱚᱛᱤᱭᱚ ᱥᱚᱝᱵᱤᱫᱷᱟᱱ ᱨᱮᱭᱟᱜ ᱡᱚᱱᱚᱯᱨᱛᱤᱱᱫᱷᱤᱛᱛᱚ ᱟᱭᱤᱱ, ᱑᱙᱕᱑ ᱞᱮᱠᱟᱛᱮ, ᱥᱟᱱᱟᱢ ᱫᱳᱥᱤ ᱵᱚᱱᱫᱤ ᱠᱚ ᱫᱚ ᱵᱷᱳᱴ ᱮᱢ ᱨᱮᱱ ᱳᱜᱽᱜᱚ ᱠᱚ ᱵᱟᱝ ᱠᱟᱱᱟ ᱾"
इसमें पैरोल पर छूटे कैदी और जेल में बंद कैदी शामिल हैं।,ᱱᱚᱶᱟ ᱢᱩᱫᱽᱨᱮ ᱯᱮᱨᱳᱞ ᱨᱮ ᱛᱟᱦᱮᱱ ᱵᱚᱱᱫᱤ ᱟᱨ ᱟᱠᱚᱴ ᱟᱠᱟᱫ ᱠᱚ ᱵᱚᱱᱫᱤ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ ᱾
साथ ही ऐसा ही उन लोगों के लिए भी है जिनके पास किसी दूसरे देश की नागरिकता है।,ᱡᱟᱦᱟᱸᱭ ᱮᱴᱟᱜ ᱫᱤᱥᱚᱢ ᱨᱮᱭᱟᱜ ᱱᱟᱜᱚᱨᱤᱠᱚᱛᱛᱚ ᱠᱚ ᱦᱟᱛᱟᱣᱼᱟ ᱩᱱᱠᱚ ᱨᱮᱦᱚᱸ ᱤᱱᱟᱹ ᱠᱟᱛᱷᱟ ᱜᱮ ᱾
भारत एकाधिक नागरिकता को मान्यता नहीं देता है।,ᱵᱷᱟᱨᱚᱛ ᱫᱚ ᱟᱭᱢᱟ ᱱᱟᱜᱚᱨᱤᱠᱚᱛᱛᱚ ᱨᱮ ᱥᱟᱹᱠᱭᱟᱹᱛ ᱵᱟᱭ ᱮᱢᱚᱜᱼᱟ ᱾
"तो, यदि तुम्हारे पास किसी दूसरे देश की नागरिकता है, तो तुम भारतीय नागरिकता और वोट देने का अपना अधिकार खो देते हो।","ᱮᱱᱠᱷᱟᱱ, ᱟᱢ ᱡᱩᱫᱤ ᱮᱴᱟᱜ ᱫᱤᱥᱚᱢ ᱨᱮᱭᱟᱜ ᱱᱟᱜᱚᱨᱤᱠᱚᱛᱛᱚᱢ ᱦᱟᱛᱟᱣᱼᱟ, ᱮᱱᱠᱷᱟᱱ ᱟᱢ ᱟᱢᱟᱜ ᱵᱷᱟᱨᱚᱛᱤᱭᱚ ᱱᱟᱜᱚᱨᱤᱠᱚᱛᱛᱚ ᱟᱨ ᱵᱷᱳᱴ ᱨᱮᱭᱟᱜ ᱟᱹᱭᱫᱟᱹᱨᱮᱢ ᱟᱫᱼᱟ ᱾"
हमें यह नहीं पता था मैम।,ᱟᱞᱮ ᱫᱚ ᱵᱟᱝᱞᱮ ᱵᱟᱰᱟᱭᱼᱟ ᱢᱟᱪᱮᱛᱟᱱᱤ ᱾
"आपके पास मान्य वोटर आई.डी. भी होनी चाहिए, है ना मैम?","ᱟᱢᱟᱜ ᱦᱚᱸ ᱢᱤᱫᱴᱟᱝ ᱵᱳᱭᱫᱷᱚ ᱵᱷᱳᱴᱟᱨ ᱟᱭᱰᱤ ᱛᱟᱦᱮᱱ ᱦᱩᱭᱩᱜ ᱛᱟᱢᱟ, ᱚᱱᱟ ᱜᱮ ᱥᱮ ᱢᱟᱪᱮᱛᱟᱱᱤ ?"
"हाँ, हाँ। मान्य वोटर आई.डी. की ज़रूरी है।","ᱦᱮᱸ, ᱦᱮᱸ ᱾ ᱟᱢᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱵᱳᱭᱫᱷᱚ ᱵᱷᱳᱴᱟᱨ ᱟᱭᱰᱤ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ ᱾"
तभी तुम्हारा नाम मतदाता सूची में लिखा जाएगा।,ᱮᱱᱠᱷᱟᱱ ᱜᱮ ᱵᱷᱳᱴᱟᱨ ᱛᱟᱹᱞᱤᱠᱟᱨᱮ ᱧᱩᱛᱩᱢ ᱨᱟᱠᱟᱵ ᱛᱟᱢᱟ ᱾
तुम्हें ऑनलाइन पंजीकरण करके या सेवा केंद्र पर ज़रूरी दस्तावेज़ दिखा कर वोटर आई.डी. मिल सकती है।,ᱚᱱᱞᱟᱭᱤᱱ ᱨᱮ ᱨᱮᱡᱤᱥᱴᱟᱨ ᱠᱟᱛᱮ ᱥᱮ ᱡᱚᱛᱷᱟᱛ ᱱᱚᱛᱷᱤ ᱟᱛᱮ ᱢᱤᱫᱴᱟᱝ ᱵᱷᱟᱹᱞᱟᱹᱭ ᱛᱟᱞᱢᱟᱨᱮ ᱟᱢᱟᱜ ᱵᱷᱳᱴᱟᱨ ᱟᱭᱰᱤ ᱛᱟᱦᱮᱸ ᱫᱟᱲᱮᱭᱟᱛᱟᱢᱟ ᱾
आज के लिए इतना ही।,ᱛᱮᱹᱦᱮᱹᱧ ᱫᱚ ᱱᱤᱭᱟᱹ ᱠᱚᱜᱮ ᱦᱩᱭᱩᱜᱼᱟ ᱾
अगले दिन के लिए अपने परिवारों से मतदाता के तौर पर उनके अनुभवों के बारे में बात करना।,ᱫᱚᱥᱟᱨ ᱦᱤᱞᱚᱜ ᱨᱮᱱ ᱵᱷᱳᱴᱟᱨ ᱞᱮᱟᱛᱮ ᱩᱱᱠᱚᱣᱟᱜ ᱵᱩᱡᱩᱱ ᱵᱟᱨᱮᱛᱮ ᱟᱢᱟᱜ ᱚᱲᱟᱜ ᱨᱮᱱ ᱦᱚᱲ ᱠᱚ ᱥᱟᱞᱟᱜ ᱨᱚᱯᱚᱲ ᱢᱮ ᱾
"जी मैम, धन्यवाद।","ᱦᱮᱸ ᱢᱟᱪᱮᱫᱟᱹᱱᱤ ᱜᱚᱝᱠᱮ, ᱟᱭᱢᱟ ᱥᱟᱨᱦᱟᱣ ᱾"
"हैलो, मैं यहाँ पैन कार्ड इश्यू करवाने आई हूँ।","ᱦᱮᱞᱳ, ᱤᱧ ᱱᱚᱸᱰᱮ ᱢᱤᱫᱴᱟᱝ ᱯᱮᱱᱠᱟᱨᱰ ᱤᱥᱩ ᱤᱧ ᱦᱮᱡ ᱟᱠᱟᱱᱟ ᱾"
क्या आपके खुद के लिए?,ᱱᱚᱶᱟ ᱪᱮᱫ ᱟᱯᱱᱟᱨ ᱞᱟᱹᱜᱤᱫ ?
असल में अपने और अपनी बेटी के लिए।,ᱟᱥᱚᱠᱟᱭᱛᱮ ᱤᱧᱟᱹᱜ ᱟᱨ ᱤᱧᱨᱮᱱ ᱠᱩᱲᱤᱜᱤᱫᱽᱨᱟᱹ ᱞᱟᱹᱜᱤᱫ ᱾
लेकिन मेरी बेटी के पास ब्रिटिश नागरिकता है।,"ᱢᱮᱱᱠᱷᱟ, ᱤᱧᱨᱮᱱ ᱠᱩᱲᱤ ᱜᱤᱫᱽᱨᱟᱹ ᱵᱨᱤᱴᱤᱥ ᱱᱟᱜᱟᱨᱤᱭᱟᱹ ᱢᱮᱱᱟᱜᱼᱟ ᱾"
"ओह, कोई बात नहीं।","ᱳᱷᱚ, ᱱᱚᱶᱟ ᱡᱚᱛᱷᱟᱛ ᱜᱮᱭᱟ ᱾"
क्या आप वो सारे डॉक्यूमेंट बता सकते हैं जो हमें लाने होंगे?,ᱟᱢ ᱪᱮᱫ ᱱᱚᱛᱷᱤᱠᱚᱢ ᱛᱟᱹᱞᱤᱠᱟ ᱥᱮᱞᱮᱫ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱡᱟᱦᱟᱸ ᱟᱞᱮ ᱵᱮᱱᱟᱣ ᱦᱩᱭᱩᱜ ᱛᱟᱞᱮᱭᱟ ?
चलिए आपके पैन कार्ड से शुरू करते हैं।,ᱟᱢᱟᱜ ᱯᱮᱱᱠᱟᱨᱰ ᱫᱟᱨᱟᱭ ᱛᱮ ᱮᱛᱚᱦᱚᱵ ᱦᱩᱭᱩᱜᱼᱟ ᱾
मुझे समझता हूँ कि आप भारतीय हैं?,ᱤᱧ ᱥᱟᱵ ᱠᱮᱫᱟ ᱟᱢ ᱫᱚ ᱵᱷᱟᱨᱚᱛᱤᱭᱟᱹ ᱠᱟᱱᱟᱢ ??
"हाँ, सही है।",ᱦᱮᱸ ᱱᱚᱶᱟ ᱡᱚᱛᱷᱟᱛ ᱜᱮᱭᱟ ᱾
"आपके लिए, मैम, हमें तीन डॉक्यूमेंट लगेंगे।","ᱟᱢ ᱞᱟᱹᱜᱤᱫ, ᱢᱮᱢ, ᱟᱞᱮᱭᱟᱜ ᱯᱮᱭᱟ ᱱᱚᱛᱷᱤ ᱞᱟᱜᱟᱜᱼᱟ ᱾"
"पहचान का प्रमाण, पते का प्रमाण और आपकी जन्मतिथि का प्रमाण।","ᱩᱯᱨᱩᱢ ᱨᱮᱭᱟᱜ ᱥᱟᱵᱩᱫ, ᱴᱷᱤᱠᱟᱹᱱᱟ ᱨᱮᱭᱟᱜ ᱥᱟᱵᱩᱫ ᱟᱨ ᱟᱢᱟᱜ ᱡᱟᱱᱟᱢ ᱢᱟᱦᱟ ᱨᱮᱭᱟᱜ ᱥᱟᱵᱩᱫ ᱾"
हर-एक के प्रमाण के रूप में कौन-कौन से डॉक्यूमेंट लगेंगे?,ᱡᱚᱛᱚ ᱨᱮᱭᱟᱜ ᱥᱟᱵᱩᱫ ᱦᱤᱥᱟᱹᱵᱛᱮ ᱚᱠᱟ ᱫᱚᱞᱤᱞ ᱦᱟᱛᱟᱣ ᱦᱩᱭᱩᱜᱼᱟ ?
पहचान के लिए आप अपने आधार कार्ड या वोटर आई.डी. या अपने पासपोर्ट की कॉपी ला सकती हैं।,"ᱩᱯᱨᱩᱢ ᱞᱟᱹᱜᱤᱫ, ᱟᱢ ᱟᱢᱟᱜ ᱟᱫᱷᱟᱨ ᱠᱟᱨᱰ, ᱥᱮ ᱟᱢᱟᱜ ᱵᱷᱚᱴᱟᱨ ᱟᱭᱰᱤ ᱥᱮ ᱟᱢᱟᱜ ᱚᱟᱥᱯᱳᱨᱴ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱚᱱᱟᱞᱮᱠᱟ ᱵᱮᱱᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟᱢ ᱾"
आप चाहे तो अपने राशन कार्ड और फ़ॉर्म में बताए गए कुछ दूसरे डॉक्यूमेंट की कॉपी भी ला सकती हैं जो मैं आपको दूँगा।,ᱟᱢ ᱟᱢᱟᱜ ᱨᱮᱥᱚᱱ ᱠᱟᱨᱰ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱚᱱᱟᱞᱮᱠᱟᱱ ᱟᱨ ᱤᱧ ᱟᱢ ᱮᱢᱚᱜ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱫᱴᱟᱝ ᱟᱹᱨᱡᱤ ᱥᱟᱠᱟᱢ ᱨᱮ ᱛᱟᱹᱞᱤᱠᱟ ᱥᱮᱞᱮᱫ ᱠᱟᱹᱪ ᱮᱴᱟᱜ ᱱᱚᱛᱷᱤ ᱠᱚ ᱞᱟᱹᱜᱤᱫ ᱪᱟᱞᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟᱢ ᱾
"जो भी हो, उसमें आपकी फ़ोटो होनी चाहिए।","ᱡᱟᱦᱟᱸᱜᱮ ᱦᱩᱭᱩᱜ ᱥᱮ ᱵᱟᱝ, ᱚᱱᱟᱨᱮ ᱟᱢᱟᱜ ᱪᱤᱛᱟᱹᱨ ᱛᱟᱦᱮᱸᱱ ᱦᱩᱭᱩᱜ ᱛᱟᱢᱟ ᱾"
आप ठीक से समझ गईं?,ᱤᱧ ᱪᱮᱫ ᱱᱚᱶᱟᱧ ᱥᱟᱯᱷᱟ ᱟᱠᱟᱫᱟ ?
"हाँ, सर, समझ गई।","ᱦᱮᱸ, ᱥᱟᱨ, ᱟᱢ ᱠᱚᱨᱟᱣ ᱟᱠᱟᱫᱟ ᱾"
"पते के प्रमाण के लिए, कोई भी बिल जो तीन महीने से ज़्यादा पुराना न हो, वो चलेगा।","ᱴᱷᱤᱠᱟᱹᱱᱟ ᱥᱟᱹᱵᱩᱫ ᱞᱟᱹᱜᱤᱫ, ᱯᱮ ᱪᱟᱸᱫᱳ ᱠᱷᱚᱱ ᱰᱷᱮᱨ ᱢᱟᱨᱮ ᱵᱟᱝ ᱮᱢᱚᱱ ᱡᱟᱦᱟᱸ ᱞᱮᱠᱟᱱ ᱵᱤᱞ ᱦᱩᱭᱩᱜ ᱛᱟᱢᱟ ᱾"
"बिल से मेरा मतलब है लैंडलाइन का बिल, या बिजली का बिल या पानी का बिल।","ᱵᱤᱞ ᱢᱮᱱᱛᱮ ᱤᱧ ᱵᱩᱡᱦᱟ,ᱣᱼᱟ ᱞᱮᱱᱰᱞᱟᱭᱤᱱ ᱵᱤᱞ, ᱥᱮ ᱵᱤᱡᱞᱟ ᱵᱤᱞ, ᱥᱮ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱵᱤᱞ ᱾"
वो फ़ॉर्म में दिए गए हैं।,ᱩᱱᱠᱩ ᱟᱨᱡᱤ ᱥᱟᱠᱟᱢ ᱛᱟᱞᱤᱠᱟ ᱥᱮᱞᱮᱫ ᱠᱚᱨᱟᱣ ᱦᱩᱭᱩᱜᱼᱟ ᱾
या आप अपने पोस्ट ऑफ़िस की पासबुक या पासपोर्ट की कॉपी भी ला सकती हैं।,"ᱵᱟᱝᱠᱷᱟᱱ, ᱟᱢ ᱟᱢᱟᱜ ᱯᱳᱥᱴ ᱚᱯᱷᱤᱥ ᱯᱟᱥᱵᱩᱠ, ᱥᱮ ᱯᱟᱥᱯᱳᱨᱴ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱚᱱᱟᱞᱮᱠᱟᱱ ᱵᱮᱱᱟᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟᱢ ᱾"
"फिर से बता दूँ, जो भी हो, उसमें आपका पता होना चाहिए।","ᱟᱵᱟᱨ, ᱡᱟᱦᱟᱸᱜᱮ ᱦᱩᱭᱩᱜ ᱥᱮ ᱵᱟᱝ, ᱱᱚᱶᱟ ᱨᱮ ᱟᱢᱟᱜ ᱴᱷᱤᱠᱟᱹᱱᱟ ᱛᱟᱦᱮᱸᱱ ᱞᱟᱹᱠᱛᱤ ᱾"
अब आप समझ गई होंगी।,ᱟᱢ ᱪᱤᱛᱟᱹᱨ ᱮᱢ ᱧᱟᱢᱟ ᱾
"जी हाँ, और बर्थ सर्टिफ़िकेट?","ᱤᱧ ᱠᱚᱨᱟᱣᱼᱟ, ᱟᱨ ᱡᱟᱱᱟᱢ ᱢᱟᱦᱟ ᱨᱮᱭᱟᱜ ᱠᱟᱛᱷᱟ ᱪᱮᱫ ?"
बर्थ सर्टिफ़िकेट या पासपोर्ट चलेगा।,ᱢᱤᱫᱴᱟᱝ ᱡᱟᱱᱟᱢ ᱥᱟᱹᱵᱩᱫ ᱥᱮ ᱢᱤᱫᱴᱟᱝ ᱯᱟᱥᱯᱳᱨᱴ ᱮ ᱠᱚᱨᱟᱣᱼᱟ ᱾
"अब, आपकी बेटी के लिए, उन्हें दो डॉक्यूमेंट लाने होंगे।","ᱱᱮᱛᱚᱜ, ᱟᱢᱨᱮᱱ ᱠᱤᱲᱤ ᱞᱟᱹᱜᱤᱫ, ᱩᱱᱤ ᱵᱟᱨᱭᱟ ᱱᱚᱛᱷᱤ ᱮᱢᱚᱜ ᱦᱩᱭᱩᱜ ᱛᱟᱢᱟ ᱾"
पहचान का प्रमाण और पते का प्रमाण।,ᱩᱯᱨᱩᱢ ᱨᱮᱭᱟᱜ ᱥᱟᱵᱩᱫ ᱟᱨ ᱴᱷᱤᱠᱟᱹᱱᱟ ᱨᱮᱭᱟᱜ ᱥᱟᱵᱩᱫ ᱾
दोनों के लिए पासपोर्ट काफी होगा।,ᱵᱟᱱᱟᱨ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱫᱴᱟᱝ ᱯᱟᱥᱯᱳᱨᱴ ᱜᱮ ᱜᱟᱱᱚᱜᱼᱟ ᱾
यह सुनकर राहत मिली।,ᱱᱚᱶᱟ ᱜᱮ ᱟᱨᱟᱢ ᱾
